sexe,prenom,annee,nombre
1,AARON,2004,335
1,ABASS,2004,4
1,ABBES,2004,4
1,ABD,2004,16
1,ABD-ALLAH,2004,7
1,ABD-EL-RAHMAN,2004,3
1,ABDALAH,2004,5
1,ABDALAYE,2004,3
1,ABDALLAH,2004,107
1,ABDEL,2004,58
1,ABDEL-AZIZ,2004,7
1,ABDEL-DJALIL,2004,3
1,ABDEL-GHANI,2004,4
1,ABDEL-HAKIM,2004,8
1,ABDEL-HAMID,2004,7
1,ABDEL-JALIL,2004,3
1,ABDEL-KADER,2004,10
1,ABDEL-KARIM,2004,18
1,ABDEL-MADJID,2004,3
1,ABDEL-MALEK,2004,7
1,ABDEL-MALIK,2004,17
1,ABDEL-RAHMANE,2004,8
1,ABDEL-SAMAD,2004,6
1,ABDEL-WAHEB,2004,3
1,ABDELAH,2004,6
1,ABDELALI,2004,5
1,ABDELAZIZ,2004,33
1,ABDELDJALIL,2004,6
1,ABDELGHANI,2004,11
1,ABDELHAK,2004,7
1,ABDELHAKIM,2004,18
1,ABDELHALIM,2004,8
1,ABDELHAMID,2004,13
1,ABDELHAQ,2004,3
1,ABDELILAH,2004,8
1,ABDELJALIL,2004,14
1,ABDELKADER,2004,93
1,ABDELKARIM,2004,26
1,ABDELKRIM,2004,5
1,ABDELLAH,2004,45
1,ABDELLATIF,2004,3
1,ABDELMADJID,2004,3
1,ABDELMAJID,2004,11
1,ABDELMALEK,2004,17
1,ABDELMALIK,2004,16
1,ABDELMOUNAIM,2004,3
1,ABDELNOUR,2004,12
1,ABDELRAHIM,2004,10
1,ABDELRAHMAN,2004,14
1,ABDELRAHMANE,2004,17
1,ABDELRAHMEN,2004,4
1,ABDELRANI,2004,5
1,ABDELRAZAK,2004,3
1,ABDELSALEM,2004,3
1,ABDELSAMAD,2004,7
1,ABDENNOUR,2004,7
1,ABDENOUR,2004,12
1,ABDERAHIM,2004,6
1,ABDERAHMAN,2004,6
1,ABDERAHMANE,2004,12
1,ABDERAMAN,2004,3
1,ABDERRAHIM,2004,8
1,ABDERRAHMAN,2004,14
1,ABDERRAHMANE,2004,31
1,ABDERRAHMEN,2004,8
1,ABDESLAM,2004,6
1,ABDESSALAM,2004,4
1,ABDESSAMAD,2004,13
1,ABDOU,2004,22
1,ABDOUL,2004,27
1,ABDOUL-AZIZ,2004,3
1,ABDOUL-KADER,2004,3
1,ABDOUL-KARIM,2004,6
1,ABDOULAY,2004,3
1,ABDOULAYE,2004,86
1,ABDOULHAKIM,2004,3
1,ABDOULKARIM,2004,4
1,ABDOULLAH,2004,14
1,ABDOURAHIM,2004,4
1,ABDOURAHMAN,2004,5
1,ABDOURAHMANE,2004,8
1,ABDRAHMAN,2004,3
1,ABDRAMANE,2004,6
1,ABDUL,2004,9
1,ABDUL-RAHMAN,2004,3
1,ABDULKADIR,2004,4
1,ABDULLAH,2004,36
1,ABDULRAHMAN,2004,3
1,ABDULSAMED,2004,3
1,ABDURRAHMAN,2004,5
1,ABED,2004,6
1,ABEL,2004,132
1,ABINASH,2004,4
1,ABLAYE,2004,4
1,ABOU,2004,14
1,ABOU-BAKR,2004,11
1,ABOUBACAR,2004,42
1,ABOUBAKAR,2004,29
1,ABOUBAKARI,2004,4
1,ABOUBAKARY,2004,3
1,ABOUBAKER,2004,7
1,ABOULAYE,2004,3
1,ABRAHAM,2004,42
1,ACHILE,2004,7
1,ACHILLE,2004,201
1,ACHRAF,2004,55
1,ACHRAFE,2004,4
1,ACHREF,2004,4
1,ACIL,2004,4
1,ADAM,2004,1593
1,ADAMA,2004,65
1,ADAME,2004,64
1,ADAMS,2004,5
1,ADAN,2004,32
1,ADDA,2004,3
1,ADEL,2004,234
1,ADELIN,2004,8
1,ADELIO,2004,3
1,ADEM,2004,188
1,ADEME,2004,5
1,ADEN,2004,6
1,ADHAM,2004,10
1,ADIB,2004,11
1,ADIL,2004,122
1,ADILE,2004,5
1,ADLAN,2004,7
1,ADLANE,2004,7
1,ADLEN,2004,5
1,ADLENE,2004,6
1,ADNAN,2004,22
1,ADNANE,2004,24
1,ADONAI,2004,6
1,ADONIS,2004,40
1,ADRIAN,2004,139
1,ADRIANO,2004,29
1,ADRIEL,2004,11
1,ADRIEN,2004,2348
1,ADRYAN,2004,7
1,ADRYEN,2004,5
1,ADYL,2004,8
1,AEDAN,2004,3
1,AEL,2004,18
1,AELIG,2004,9
1,AGHILAS,2004,8
1,AGHILES,2004,7
1,AHAMADA,2004,3
1,AHARON,2004,8
1,AHCEN,2004,3
1,AHCENE,2004,6
1,AHMAD,2004,22
1,AHMADOU,2004,6
1,AHMAT,2004,3
1,AHMED,2004,300
1,AHMED-AMINE,2004,4
1,AHMED-YACINE,2004,3
1,AHMED-YASSINE,2004,8
1,AHMET,2004,87
1,AIDAN,2004,32
1,AIDEN,2004,8
1,AIMAD,2004,8
1,AIMAN,2004,26
1,AIMANE,2004,17
1,AIME,2004,27
1,AIMEN,2004,53
1,AIMENE,2004,7
1,AIMERIC,2004,24
1,AIMERICK,2004,3
1,AIMERY,2004,7
1,AINA,2004,4
1,AINSLEY,2004,3
1,AIRON,2004,4
1,AISSA,2004,72
1,AISSAM,2004,14
1,AIYOUB,2004,4
1,AKASH,2004,7
1,AKIF,2004,3
1,AKIL,2004,7
1,AKIM,2004,32
1,AKIN,2004,9
1,AKIRA,2004,3
1,AKLI,2004,6
1,AKRAM,2004,51
1,AKRAME,2004,4
1,AKSEL,2004,40
1,AKSHAYAN,2004,3
1,AKSIL,2004,5
1,AL,2004,12
1,ALAA,2004,4
1,ALAA-EDDINE,2004,3
1,ALADIN,2004,5
1,ALAEDDINE,2004,4
1,ALAEDINE,2004,3
1,ALAIN,2004,83
1,ALAN,2004,722
1,ALANE,2004,12
1,ALANN,2004,31
1,ALARIC,2004,17
1,ALASSANE,2004,27
1,ALBAIN,2004,4
1,ALBAN,2004,555
1,ALBERIC,2004,20
1,ALBERT,2004,60
1,ALBERTO,2004,16
1,ALBIN,2004,99
1,ALCIDE,2004,6
1,ALDIN,2004,5
1,ALDO,2004,8
1,ALDRIC,2004,22
1,ALDRICK,2004,4
1,ALDWIN,2004,4
1,ALEC,2004,52
1,ALECK,2004,3
1,ALEJANDRO,2004,9
1,ALEK,2004,12
1,ALEKSA,2004,4
1,ALEKSANDAR,2004,8
1,ALEKSANDER,2004,4
1,ALEKSANDR,2004,3
1,ALEKSANDRE,2004,8
1,ALEKSY,2004,4
1,ALEN,2004,5
1,ALES,2004,5
1,ALESSANDRO,2004,117
1,ALESSIO,2004,86
1,ALEX,2004,765
1,ALEXAN,2004,10
1,ALEXANDER,2004,55
1,ALEXANDRE,2004,4157
1,ALEXANDRO,2004,19
1,ALEXANDROS,2004,4
1,ALEXANDRU,2004,10
1,ALEXEI,2004,13
1,ALEXI,2004,109
1,ALEXIAN,2004,27
1,ALEXIS,2004,4259
1,ALEXY,2004,225
1,ALEXYS,2004,17
1,ALFRED,2004,27
1,ALFREDO,2004,4
1,ALHAN,2004,9
1,ALHASSANE,2004,4
1,ALI,2004,399
1,ALI-CAN,2004,5
1,ALIAS,2004,5
1,ALIAUME,2004,3
1,ALICAN,2004,7
1,ALICK,2004,3
1,ALIHAN,2004,6
1,ALIM,2004,7
1,ALIOCHA,2004,6
1,ALIOU,2004,15
1,ALIOUNE,2004,9
1,ALISTAIR,2004,13
1,ALISTER,2004,5
1,ALIX,2004,232
1,ALLAN,2004,569
1,ALLANDE,2004,4
1,ALLANE,2004,5
1,ALLEN,2004,6
1,ALMAMY,2004,6
1,ALMIR,2004,4
1,ALOIS,2004,181
1,ALON,2004,8
1,ALONE,2004,9
1,ALONSO,2004,8
1,ALONZO,2004,22
1,ALOYS,2004,39
1,ALP,2004,3
1,ALPARSLAN,2004,4
1,ALPASLAN,2004,3
1,ALPAY,2004,7
1,ALPER,2004,15
1,ALPEREN,2004,22
1,ALPHA,2004,20
1,ALPHONSE,2004,17
1,ALPHONSO,2004,3
1,ALRIC,2004,7
1,ALRICK,2004,8
1,ALTAN,2004,9
1,ALTIN,2004,5
1,ALVARO,2004,6
1,ALVIN,2004,51
1,ALVINE,2004,5
1,ALVYN,2004,7
1,ALWIN,2004,4
1,ALY,2004,19
1,AMADEO,2004,15
1,AMADOU,2004,57
1,AMADOU-TIDIANE,2004,3
1,AMAEL,2004,48
1,AMALRIC,2004,3
1,AMAN,2004,7
1,AMAR,2004,51
1,AMARA,2004,14
1,AMAURY,2004,449
1,AMAYAS,2004,5
1,AMAZIGH,2004,5
1,AMBROISE,2004,81
1,AMED,2004,5
1,AMEDEE,2004,10
1,AMEDI,2004,3
1,AMEDY,2004,3
1,AMEL,2004,6
1,AMELIEN,2004,12
1,AMIEL,2004,6
1,AMIN,2004,144
1,AMINE,2004,908
1,AMIR,2004,205
1,AMIRE,2004,5
1,AMJAD,2004,18
1,AMJED,2004,4
1,AMMAR,2004,7
1,AMON,2004,3
1,AMOR,2004,3
1,AMORY,2004,24
1,AMOS,2004,10
1,AMR,2004,10
1,AMYN,2004,3
1,AMYNE,2004,4
1,AMYR,2004,3
1,AMZA,2004,7
1,ANAEL,2004,50
1,ANAICK,2004,3
1,ANAKIN,2004,15
1,ANAKINE,2004,4
1,ANAND,2004,3
1,ANAS,2004,210
1,ANASS,2004,59
1,ANASSE,2004,14
1,ANATOLE,2004,202
1,ANCELIN,2004,12
1,ANDDY,2004,5
1,ANDEOL,2004,10
1,ANDER,2004,4
1,ANDERSON,2004,24
1,ANDGEL,2004,10
1,ANDGELO,2004,3
1,ANDI,2004,6
1,ANDJY,2004,3
1,ANDONI,2004,19
1,ANDONY,2004,3
1,ANDREAS,2004,100
1,ANDREI,2004,13
1,ANDREO,2004,5
1,ANDRES,2004,9
1,ANDREW,2004,90
1,ANDRIA,2004,10
1,ANDRY,2004,10
1,ANDRÉ,2004,111
1,ANDRÉA,2004,224
1,ANDY,2004,347
1,ANEL,2004,6
1,ANES,2004,47
1,ANESS,2004,15
1,ANGE,2004,161
1,ANGE-MARIE,2004,6
1,ANGEL,2004,180
1,ANGELINO,2004,5
1,ANGELO,2004,233
1,ANGHJULU,2004,4
1,ANGUS,2004,14
1,ANGY,2004,15
1,ANH,2004,4
1,ANICE,2004,6
1,ANICET,2004,11
1,ANIEL,2004,3
1,ANIL,2004,12
1,ANIR,2004,9
1,ANIS,2004,364
1,ANISS,2004,38
1,ANISSE,2004,30
1,ANNIS,2004,3
1,ANOIR,2004,3
1,ANOKI,2004,3
1,ANOUAR,2004,41
1,ANRI,2004,3
1,ANSELME,2004,33
1,ANSOUMANE,2004,4
1,ANTHELME,2004,6
1,ANTHIME,2004,13
1,ANTHON,2004,8
1,ANTHONE,2004,3
1,ANTHONI,2004,4
1,ANTHONIN,2004,76
1,ANTHONIO,2004,7
1,ANTHONNY,2004,4
1,ANTHONY,2004,1885
1,ANTHONYN,2004,3
1,ANTHYME,2004,11
1,ANTIME,2004,6
1,ANTOINE,2004,4005
1,ANTON,2004,149
1,ANTONE,2004,9
1,ANTONI,2004,35
1,ANTONIN,2004,1247
1,ANTONINO,2004,6
1,ANTONIO,2004,124
1,ANTONN,2004,8
1,ANTONY,2004,223
1,ANTTON,2004,22
1,ANUSAN,2004,3
1,ANWAR,2004,9
1,ANYS,2004,11
1,ANZO,2004,10
1,AODREN,2004,15
1,AODRENN,2004,3
1,AOMAR,2004,3
1,APOLLINAIRE,2004,10
1,ARAM,2004,6
1,ARAMIS,2004,8
1,ARAVIND,2004,3
1,ARCHANGE,2004,4
1,ARCHIBALD,2004,18
1,ARDA,2004,13
1,ARESKI,2004,5
1,AREZKI,2004,8
1,ARFAN,2004,3
1,ARGAN,2004,11
1,ARI,2004,22
1,ARIE,2004,7
1,ARIEL,2004,38
1,ARIF,2004,9
1,ARILES,2004,8
1,ARIS,2004,14
1,ARISTIDE,2004,47
1,ARISTOTE,2004,8
1,ARJUN,2004,4
1,ARKAN,2004,3
1,ARKANE,2004,4
1,ARMAGAN,2004,4
1,ARMAN,2004,25
1,ARMAND,2004,330
1,ARMANDO,2004,8
1,ARMANI,2004,4
1,ARMEL,2004,52
1,ARMIN,2004,4
1,ARMINDO,2004,4
1,ARNAUD,2004,620
1,ARNAULT,2004,8
1,ARNO,2004,102
1,ARNOLD,2004,15
1,ARNOULD,2004,3
1,ARO,2004,3
1,AROLD,2004,5
1,ARON,2004,18
1,ARONA,2004,6
1,ARONE,2004,3
1,ARONN,2004,5
1,AROUNA,2004,4
1,ARRON,2004,3
1,ARSEN,2004,6
1,ARSENE,2004,99
1,ARSLAN,2004,3
1,ARSLANE,2004,6
